#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
66         3683.87 3788.90 12.293  0.028   0.499   0.043   -0.086  0.032   0.430   0.027  
67         102.196 3161.72 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
68         2040.92 3501.68 11.951  0.021   0.593   0.042   -0.207  0.039   0.523   0.020  
69         93.920  4030.23 12.453  0.038   0.988   0.051   -0.569  0.039   0.288   0.041  
70         1473.74 2277.20 12.131  0.011   0.502   0.024   -0.026  0.022   0.378   0.011  
71         1131.05 663.797 12.402  0.017   0.921   0.052   0.607   0.050   0.799   0.020  
72         1333.65 2595.14 12.379  0.019   0.519   0.032   0.177   0.024   0.431   0.018  
73         1202.71 2808.60 12.580  0.018   0.650   0.032   0.194   0.025   0.626   0.018  
74         3101.39 1113.63 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
75         2851.27 274.212 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
76         4083.81 33.665  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
77         3763.89 3160.69 12.195  0.025   1.729   0.039   1.172   0.028   1.722   0.026  
78         3158.10 1129.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
79         2467.76 2462.98 12.346  0.020   0.724   0.032   0.229   0.026   0.625   0.020  
80         3838.76 387.394 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
81         2401.45 650.279 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
82         1000.33 1448.68 12.282  0.027   0.719   0.052   0.332   0.044   0.638   0.026  
83         47.224  4099.53 13.315  0.039   0.685   0.083   0.076   0.074   INDEF   INDEF  
84         988.730 3530.49 12.617  0.017   0.750   0.050   0.449   0.047   0.635   0.019  
85         3085.00 1187.93 12.709  0.017   0.671   0.032   0.147   0.027   0.650   0.017  
86         2196.61 1170.88 12.743  0.027   1.670   0.039   1.050   0.027   1.579   0.027  
87         1084.06 2483.18 12.720  0.022   0.695   0.037   0.152   0.027   0.576   0.021  
88         1050.47 526.270 12.671  0.016   0.526   0.052   0.097   0.051   0.522   0.019  
89         1490.13 1647.89 12.501  0.020   0.777   0.032   0.387   0.025   0.638   0.020  
90         3177.44 2790.11 12.614  0.015   0.697   0.027   0.238   0.025   0.630   0.016  
91         3432.74 3797.58 13.082  0.034   0.754   0.051   0.140   0.034   1.013   0.034  
92         1508.47 2933.76 12.653  0.012   0.533   0.020   0.080   0.016   0.412   0.012  
93         2914.98 3361.48 12.656  0.020   1.700   0.035   1.134   0.029   1.664   0.020  
94         3470.69 2463.87 12.555  0.015   0.671   0.027   0.154   0.022   0.625   0.015  
95         554.695 129.228 13.464  0.041   0.535   0.064   0.414   0.046   INDEF   INDEF  
96         3934.78 1574.77 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
97         2825.51 1460.47 13.109  0.017   0.579   0.045   -0.172  0.041   0.498   0.019  
98         2689.88 731.022 12.498  0.026   1.568   0.058   0.757   0.050   1.560   0.028  
99         518.606 2568.77 13.935  0.162   -0.064  0.186   1.203   0.054   2.606   0.155  
100        793.858 258.717 13.498  0.030   0.621   0.051   0.261   0.040   INDEF   INDEF  
101        2945.12 2017.58 12.888  0.012   1.656   0.033   0.935   0.031   1.529   0.013  
102        1224.12 1742.08 12.715  0.017   0.662   0.037   -0.089  0.033   0.670   0.017  
