     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
     63    3401.7410    3158.1180      12.3718       0.0190       0.7542       0.0451       0.5707       0.0271       0.2004       0.0264  
     64     986.7380    3820.9540      12.4790       0.0230       1.4605       0.0793       1.4338       0.0350       1.0952       0.0617  
     65    2857.7920    3912.0040      12.1776       0.0290       3.8432       0.3501       1.4419       0.0382      -1.2231       0.2399  
     66    3683.8720    3788.8970      12.2919       0.0250       0.5053       0.0622       0.4321       0.0306      -0.0610       0.0324  
     67     102.1960    3161.7230          nan       0.0260          nan          nan       0.6022       0.0413          nan          nan  
     68    2040.9220    3501.6760      11.9514       0.0190       0.6004       0.0586       0.5266       0.0228      -0.1648       0.0421  
     69      93.9200    4030.2260      12.4568       0.0350       0.9994       0.0711       0.3340       0.0519      -0.4673       0.0453  
     70    1473.7410    2277.2010      12.1298       0.0100       0.5077       0.0329       0.3835       0.0140      -0.0042       0.0243  
     71    1131.0450     663.7970      12.4055       0.0155       0.9323       0.0677       0.8101       0.0266       0.6243       0.0513  
     72    1333.6540    2595.1350      12.3786       0.0170       0.5248       0.0451       0.4348       0.0207       0.1867       0.0230  
     73    1202.7090    2808.6010      12.5804       0.0160       0.6578       0.0451       0.6283       0.0209       0.2141       0.0243  
     74    3101.3900    1113.6260          nan       0.0190          nan          nan       2.5615       0.0265          nan          nan  
     75    2851.2690     274.2120          nan       0.0150          nan          nan       1.3996       0.0313          nan          nan  
     76    4083.8060      33.6650          nan       0.0520          nan          nan          nan          nan          nan          nan  
     77    3763.8860    3160.6940      12.2061       0.0230       1.7497       0.0561       1.7380       0.0311       1.2234       0.0274  
     78    3158.1010    1129.3960          nan       0.0150          nan          nan       0.7552       0.0204          nan          nan  
     79    2467.7640    2462.9750      12.3473       0.0180       0.7322       0.0451       0.6319       0.0231       0.2532       0.0283  
     80    3838.7620     387.3940          nan       0.0240          nan          nan       0.7885       0.0307          nan          nan  
     81    2401.4530     650.2790          nan       0.0280          nan          nan       1.9495       0.0460          nan          nan  
     82    1000.3330    1448.6770      12.2836       0.0240       0.7273       0.0732       0.6445       0.0291       0.3492       0.0438  
     83      47.2240    4099.5320      13.3160       0.0350       0.6932       0.1148          nan          nan       0.1074       0.0751  
     84     988.7300    3530.4850      12.6184       0.0150       0.7590       0.0659       0.6436       0.0241       0.4608       0.0446  
     85    3085.0050    1187.9320      12.7100       0.0150       0.6785       0.0451       0.6517       0.0214       0.1720       0.0274  
     86    2196.6120    1170.8790      12.7532       0.0250       1.6899       0.0549       1.5994       0.0310       1.1040       0.0297  
     87    1084.0620    2483.1760      12.7213       0.0200       0.7029       0.0522       0.5842       0.0241       0.1788       0.0250  
     88    1050.4750     526.2700      12.6701       0.0144       0.5321       0.0676       0.5212       0.0258       0.1123       0.0527  
     89    1490.1310    1647.8900      12.5026       0.0180       0.7859       0.0464       0.6481       0.0225       0.4060       0.0247  
     90    3177.4410    2790.1130      12.6151       0.0132       0.7054       0.0381       0.6346       0.0205       0.2591       0.0276  
     91    3432.7440    3797.5760      13.0832       0.0310       0.7627       0.0723       1.0000       0.0399       0.1730       0.0326  
     92    1508.4680    2933.7630      12.6526       0.0105       0.5394       0.0283       0.4177       0.0151       0.0976       0.0175  
     93    2914.9780    3361.4760      12.6671       0.0180       1.7204       0.0500       1.6813       0.0256       1.1853       0.0311  
     94    3470.6880    2463.8680      12.5560       0.0140       0.6785       0.0378       0.6283       0.0181       0.1788       0.0229  
     95     554.6950     129.2280      13.4634       0.0370       0.5419       0.0915          nan          nan       0.4089       0.0428  
     96    3934.7810    1574.7710          nan       0.0150          nan          nan       0.5716       0.0202          nan          nan  
     97    2825.5110    1460.4690      13.1094       0.0150       0.5858       0.0598       0.5023       0.0246      -0.1335       0.0388  
     98    2689.8800     731.0220      12.5074       0.0230       1.5862       0.0793       1.5733       0.0372       0.8220       0.0466  
     99     518.6060    2568.7720      13.9292       0.1480      -0.0645       0.2330       2.4427       0.1536       1.0922       0.0498  
    100     793.8580     258.7170      13.4984       0.0270       0.6285       0.0732          nan          nan       0.2738       0.0392  
    101    2945.1160    2017.5790      12.8982       0.0110       1.6753       0.0439       1.5508       0.0156       0.9953       0.0319  
    102    1224.1240    1742.0790      12.7156       0.0151       0.6700       0.0509       0.6706       0.0205      -0.0493       0.0328  
    103    3524.3020    3608.1190      12.6083       0.0230       1.5581       0.0561       1.4545       0.0296       1.1353       0.0284  
    104    1477.3310    2983.8000      12.8089       0.0110       0.5785       0.0378       0.4564       0.0157       0.0525       0.0237  
    105     811.4930    1643.3860      13.2696       0.0230       1.9449       0.0620       2.0035       0.0284       1.3556       0.0384  
    106     452.7060    2639.9600          nan       0.0190          nan          nan       0.4438       0.0280          nan          nan  
    107    2949.2710    3823.1700      12.7823       0.0296       0.5577       0.0761       0.5563       0.0349      -0.1961       0.0383  
    108    3306.0180    1650.6700      12.9056       0.0110       1.1909       0.0329       1.1575       0.0166       0.5117       0.0220  
    109    2084.4170    3246.0440      13.2502       0.0130       2.2255       0.0348       2.2951       0.0187       1.3458       0.0247  
    110     672.3040    3147.9150      13.1625       0.0150       0.5992       0.0647       0.6400       0.0243       0.1877       0.0418  
    111    3236.9020    1609.3290      13.1025       0.0100       0.7285       0.0334       0.7696       0.0174      -0.0189       0.0241  
