     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
   4780     622.6930    3160.5880      18.0509       0.0113       1.0994       0.0456       1.3384       0.0532       0.5939       0.0449  
   4781     300.6360    1370.3680      18.0698       0.0174       1.2324       0.0510       1.4860       0.0443       0.4892       0.0486  
   4782    2199.7460    2262.9620      18.0470       0.0179       1.1995       0.0447       1.1053       0.0559       0.5352       0.0448  
   4783    1585.9800    3997.6350      17.9915       0.0142       1.3373       0.0479          nan          nan       0.9738       0.0694  
   4784    2142.0890    1420.8660      18.1558       0.0177       2.1742       0.0431       2.2465       0.0327          nan          nan  
   4785    1286.1760     519.4140      18.0708       0.0208       1.1738       0.0588       1.3366       0.0615       0.4471       0.0486  
   4786    1993.8160    1223.0140      17.9742       0.0220       1.4435       0.0450       1.5346       0.0498       0.5695       0.0409  
   4787    3146.4760    1066.2300      17.9475       0.0205       1.6277       0.0453       1.7488       0.0425       0.7271       0.0444  
   4788    3436.8790    3600.0960      18.0663       0.0110       1.2678       0.0328       1.5211       0.0399       0.4422       0.0530  
   4789    1144.7220    2849.4270      17.9957       0.0135       1.4935       0.0383       1.6192       0.0360       0.6145       0.0436  
   4790    4024.2410    2111.1580          nan       0.0136          nan          nan       1.4563       0.0701          nan          nan  
   4791    2067.4630    1635.1750      17.9583       0.0127       1.4130       0.0309       1.3096       0.0429       0.6830       0.0345  
   4792    4004.5200    3396.8970      18.1107       0.0120       1.1324       0.0343       1.4680       0.0636          nan          nan  
   4793    1749.2270     762.9200      17.9180       0.0236       1.5191       0.0689       1.4239       0.0535       0.8171       0.0662  
   4794    2427.2780    3156.5910      18.0111       0.0101       1.3288       0.0306       1.3762       0.0368       0.5577       0.0346  
   4795    2288.4020    2940.6490      17.9895       0.0112       1.3812       0.0277       1.4041       0.0372       0.6311       0.0315  
   4796    1059.6150    3356.5240      18.0606       0.0103       1.2348       0.0412       1.5634       0.0326       0.5548       0.0436  
   4797    3287.5350     413.1860          nan       0.0149          nan          nan       1.4644       0.0414          nan          nan  
   4798    2309.9620     715.4830      18.0200       0.0230       1.3154       0.0583       1.3834       0.0583       0.4285       0.0445  
   4799    2919.3540    2388.2400      18.0862       0.0140       2.0815       0.0364       2.1691       0.0291          nan          nan  
   4800     628.6350    1381.2220      18.0952       0.0187       1.1824       0.0493          nan          nan       0.4187       0.0465  
   4801    3562.2540    2803.0970      18.0632       0.0091       1.1970       0.0265       1.3492       0.0424       0.6380       0.0331  
   4802    1771.0520    2573.6520      17.9447       0.0161       1.4215       0.0407       1.2700       0.0447       0.9385       0.0499  
   4803     205.2570     281.8150      18.1577       0.0229       1.0311       0.0515          nan          nan       0.6253       0.0413  
   4804    3900.7200    2707.8910      18.0925       0.0106       1.9022       0.0377       2.0989       0.0273       1.0315       0.0786  
   4805    2197.9800    1810.4980      17.9642       0.0125       1.4435       0.0322       1.4212       0.0426       0.7633       0.0400  
   4806    1054.1140    4004.9990      18.1406       0.0216       1.3068       0.0628       1.6642       0.0463       1.1275       0.1140  
   4807    4033.3100    3523.4000      17.9933       0.0117       1.3556       0.0356       1.4410       0.0395       0.8808       0.0434  
   4808    2907.3290    1727.1240      17.9839       0.0155       1.3898       0.0456       1.2259       0.0495       0.4637       0.0473  
   4809    2725.4190     641.7910      18.0252       0.0192       1.2983       0.0538       1.2970       0.0509       0.4265       0.0482  
   4810    3990.9470    3594.1810      18.0398       0.0107       1.2458       0.0357       1.3627       0.0435       0.5460       0.0390  
   4811     117.0760     589.0090      18.1116       0.0224       1.1616       0.0517          nan          nan       0.4853       0.0445  
   4812    1224.2170    2254.0140      17.9408       0.0174       1.4642       0.0410       1.4257       0.0440       0.8015       0.0428  
   4813    3513.8920    3064.7160      18.0001       0.0092       1.4593       0.0283       1.5814       0.0350       0.6204       0.0401  
   4814     412.2150    3329.5490      18.0403       0.0150       1.3690       0.0531       1.7290       0.0426       0.6899       0.0529  
   4815    1189.0320    2790.0290      18.0256       0.0116       1.5252       0.0339       1.6426       0.0355          nan          nan  
   4816     240.5720    3584.8010      18.1192       0.0180       1.2409       0.0554       1.7092       0.0429       0.5420       0.0502  
   4817     918.4710    3003.9210      17.9821       0.0116       1.3581       0.0400       1.3924       0.0399       0.8955       0.0463  
   4818     708.5200    1551.4710      17.9994       0.0194       1.3105       0.0534       1.4104       0.0450       0.6693       0.0467  
   4819    1353.8440    2193.0280      18.1058       0.0155       1.1299       0.0381       1.1125       0.0577       0.5342       0.0385  
   4820     159.4550    2260.0860          nan       0.0196          nan          nan       1.3816       0.0515          nan          nan  
   4821    3335.4460    3992.0040      18.0396       0.0125       1.4813       0.0398       1.7551       0.0351       0.6762       0.0480  
   4822    2121.2740      77.4620      18.1281       0.0195       1.8936       0.0545       2.0638       0.0421          nan          nan  
   4823     917.9110    1614.3250      18.2786       0.0182       2.0034       0.0559       2.2231       0.0354       1.0061       0.1004  
   4824    1105.2990    1292.2450      18.3454       0.0229       2.0644       0.0551       2.3527       0.0389       0.9757       0.1056  
   4825     257.6280    1497.9350      17.8869       0.0187       1.5057       0.0544          nan          nan       0.7927       0.0541  
   4826     545.1690      92.5520      18.1081       0.0237       1.0970       0.0595          nan          nan       0.5646       0.0470  
   4827    2098.4220     822.4520      17.9918       0.0232       1.4203       0.0565       1.5301       0.0468       0.6674       0.0463  
   4828    2107.0340    3416.6650      18.0465       0.0078       1.2653       0.0284       1.2637       0.0468       0.4608       0.0355  
   4829    1399.6970     679.7110      18.0400       0.0200       1.4032       0.0562       1.5373       0.0465       0.5244       0.0555  
   4830     596.3550     700.6300      18.1318       0.0167       1.0140       0.0495          nan          nan       0.6370       0.0522  
   4831     849.1480    2817.1460      18.0357       0.0136       1.4935       0.0400       1.5472       0.0384          nan          nan  
   4832     336.5290    2442.6080          nan       0.0181          nan          nan       1.3006       0.0461          nan          nan  
   4833     711.0400    2394.6150      17.9811       0.0164       1.4020       0.0466       1.4743       0.0748       0.6292       0.0490  
   4834     328.5370    2960.5230          nan       0.0166          nan          nan       1.3420       0.0456          nan          nan  
   4835     125.7910    1390.9050      18.0287       0.0172       1.2336       0.0467          nan          nan       0.6654       0.0438  
   4836     289.7280    2125.6590      18.0322       0.0186       1.1970       0.0582       1.2115       0.0520       0.5391       0.0515  
   4837    3122.1160    2982.7220      18.0995       0.0098       1.1641       0.0278       1.3087       0.0399       0.4774       0.0348  
   4838    3350.0610    1228.4620          nan       0.0165          nan          nan       1.3870       0.0491          nan          nan  
   4839     290.5290    3682.2470      18.0323       0.0212       1.2397       0.0617       1.4572       0.0560       0.7496       0.0582  
   4840     391.0970    3037.2570      18.0490       0.0148       1.1995       0.0529       1.3123       0.0459       0.5166       0.0492  
   4841    1249.9660    1635.8620      17.9649       0.0189       1.4618       0.0445       1.5130       0.0479       0.7104       0.0436  
   4842    2713.6770    2032.3450      18.0142       0.0147       1.3849       0.0386       1.3915       0.0487       0.4481       0.0391  
   4843    3064.0430    1879.4680      18.0133       0.0142       1.3690       0.0399       1.3960       0.0428       0.6076       0.0441  
   4844     676.6620    2957.0330      18.2372       0.0129       1.9803       0.0460       2.3041       0.0299       1.1030       0.1519  
   4845    2063.7920    4042.0930          nan       0.0125          nan          nan       1.1134       0.0514          nan          nan  
   4846    3072.2850    3042.9210      18.0226       0.0099       1.4081       0.0287       1.4473       0.0374       0.8583       0.0572  
   4847    3661.1740    2301.5790      18.0474       0.0094       1.2666       0.0305       1.3987       0.0425       0.6027       0.0360  
   4848    3797.1970    2744.6720      18.1351       0.0109       1.0384       0.0323       1.0405       0.0520       0.4755       0.0357  
   4849    2685.1380     559.0080          nan       0.0187          nan          nan       1.2061       0.0566          nan          nan  
   4850    3559.5480    2276.8050      18.0278       0.0103       1.3617       0.0296          nan          nan       0.4539       0.0359  
   4851     164.0400     484.2900      18.0793       0.0223       1.2104       0.0487          nan          nan       0.6419       0.0431  
   4852    1808.9640    4031.7800      18.0691       0.0127       1.1836       0.0431       1.3429       0.0406       0.5930       0.0491  
   4853     537.1890    3111.9690      18.0882       0.0148       1.2544       0.0423       1.4923       0.0420       0.5998       0.0559  
   4854      11.7140     736.4150      18.1289       0.0245       1.2153       0.0548          nan          nan          nan          nan  
   4855     384.4780    3629.4040      18.0964       0.0182       1.3105       0.0560       1.6957       0.0451       0.5744       0.0530  
   4856     469.7880    2421.2030          nan       0.0165          nan          nan       1.3618       0.0477          nan          nan  
   4857    2495.0140     482.3820      18.0341       0.0212       1.2861       0.0608       1.3591       0.0589       0.4872       0.0504  
   4858    1226.2110    2603.3610      18.0186       0.0137       1.4374       0.0378       1.6462       0.0467       0.4902       0.0405  
   4859    2602.5890     941.7500      18.0837       0.0242       1.2629       0.0555       1.1800       0.1020       0.3600       0.0399  
   4860     123.0680    3048.1530      18.0813       0.0182       1.3690       0.0588       1.6714       0.0437       0.5509       0.0542  
   4861    1496.4530    1900.7730      17.9835       0.0135       1.4398       0.0325       1.4167       0.0388       0.6938       0.0369  
   4862    2594.4430    1516.0430      17.9543       0.0191       1.4703       0.0490       1.3519       0.0439       0.8681       0.0538  
   4863    2499.1820    2893.2130      18.0384       0.0112       1.3398       0.0283       1.3402       0.0430       0.5146       0.0330  
   4864     933.8390     682.9780      18.0719       0.0213       1.1287       0.0588       1.2232       0.0614       0.5949       0.0496  
   4865    2850.2910    2979.6100      18.0632       0.0110       1.2702       0.0314       1.4230       0.0381       0.6762       0.0405  
   4866     672.7260    3864.8850      18.1066       0.0169       1.2348       0.0556       1.5427       0.0428       0.5234       0.0580  
   4867    3465.0130    1742.7690      18.0488       0.0121       1.3337       0.0288          nan          nan       0.4569       0.0331  
   4868     240.3460    2615.6570          nan       0.0184          nan          nan       1.3096       0.0552          nan          nan  
   4869     996.1320     477.7350      18.2743       0.0201       1.9058       0.0626       2.1664       0.0396       1.1275       0.1028  
   4870    1996.2990    2692.2180      18.0893       0.0201       2.0791       0.0432       2.2438       0.0358       0.9738       0.0750  
   4871    1690.6590    1445.6560      18.0491       0.0183       1.3288       0.0384       1.3069       0.0571       0.4432       0.0350  
   4872     190.2720     748.7410      18.1029       0.0240       1.1726       0.0526          nan          nan       0.5822       0.0413  
   4873     521.5010    2892.2170      18.0552       0.0138       1.2702       0.0503       1.5211       0.0409       0.6086       0.0482  
   4874    1711.4900    2141.6310      17.9638       0.0148       1.4642       0.0348       1.4977       0.0654       0.6497       0.0381  
   4875    1674.5580    1370.5920      17.9766       0.0200       1.7997       0.0418       1.8217       0.0396          nan          nan  
   4876      97.3880     618.5110      18.0958       0.0209       1.2178       0.0475          nan          nan       0.5215       0.0418  
   4877    3488.6160    3548.7410      18.0350       0.0108       1.3886       0.0314       1.5346       0.0383       0.7604       0.0452  
   4878    2037.5770    1220.9660      17.9620       0.0229       1.4752       0.0462       1.4239       0.0492       0.6037       0.0402  
   4879    1025.1100    1322.9670      18.0040       0.0206       1.2873       0.0550       1.4275       0.0486       0.6762       0.0433  
   4880     905.5690    2360.2400      18.2774       0.0184       2.0498       0.0493       2.2600       0.0347       1.1872       0.1449  
   4881    3511.1250    1805.2750          nan       0.0118          nan          nan       1.7011       0.0353          nan          nan  
   4882    2500.3650    1319.8040          nan          nan          nan          nan          nan          nan          nan          nan  
   4883    2392.2020     885.9520      17.9856       0.0227       1.6265       0.0577       1.6516       0.0490       1.1647       0.0707  
   4884     753.4130     909.5280      18.1895       0.0216       0.9896       0.0577          nan          nan       0.5137       0.0446  
   4885     107.0930    3469.5770      18.0441       0.0169       1.2275       0.0533       1.4338       0.0537       0.8328       0.0561  
   4886    2380.5260    1642.6570      18.0983       0.0180       1.2531       0.0429       1.2754       0.0871       0.3717       0.0362  
   4887    1588.8170    3634.7340      18.0465       0.0105       1.2946       0.0360          nan          nan       0.5832       0.0423  
   4888      76.7850    3464.7440      18.1059       0.0191       1.1726       0.0570       1.4653       0.0533       0.5048       0.0492  
   4889    2464.7450     634.5940          nan       0.0212          nan          nan       1.3402       0.0718          nan          nan  
   4890     705.7990     224.1300      18.1202       0.0207       1.1543       0.0486          nan          nan       0.5430       0.0397  
   4891     231.3300    1908.0450          nan       0.0167          nan          nan       1.9981       0.0391          nan          nan  
   4892    1262.5210    1015.5430      18.0061       0.0223       1.4447       0.0553       1.5481       0.0464       0.7320       0.0483  
   4893    3271.0850     819.7320          nan       0.0135          nan          nan       1.5022       0.0651          nan          nan  
   4894    1839.2530    2122.5720      18.0237       0.0135       1.4508       0.0351       1.5220       0.0383       0.4246       0.0351  
   4895    2534.1710    3164.7920      18.1152       0.0107       2.0669       0.0314       2.2465       0.0250       1.0208       0.0936  
   4896    2502.8600     426.4210      18.3373       0.0237       2.1523       0.0691       2.2798       0.0436       1.1197       0.1268  
   4897    2616.2620    3494.1520      18.0107       0.0107       1.5374       0.0354       1.6282       0.0358       0.8514       0.0494  
   4898    3116.1900    3001.0330      18.1571       0.0089       1.0250       0.0271       1.0918       0.0596       0.5127       0.0324  
   4899     231.2310    1725.8860      18.1544       0.0180       1.1214       0.0521          nan          nan       0.3619       0.0482  
   4900    1855.6080    2620.1390      18.1143       0.0197       1.2385       0.0431       1.2502       0.0545       0.3492       0.0370  
   4901     933.2590    2600.1390      18.0327       0.0150       1.3202       0.0412       1.3825       0.0470       0.5841       0.0392  
   4902     387.0870    4016.7300      18.1361       0.0185       1.0531       0.0583       1.3609       0.0553       0.5401       0.0577  
   4903    2021.8370    2150.6190      18.0684       0.0157       1.2239       0.0394       1.2169       0.0506       0.5920       0.0370  
   4904    3096.8130     489.6710          nan       0.0124          nan          nan       1.5364       0.0407          nan          nan  
   4905    3141.8230    3279.3320      18.0721       0.0091       1.2861       0.0272       1.3735       0.0399       0.4951       0.0337  
   4906    3649.6080    1785.2770          nan       0.0103          nan          nan       1.4950       0.0399          nan          nan  
   4907    3786.5130    3050.4800      18.0382       0.0103       1.4435       0.0299       1.5634       0.0343       0.6928       0.0447  
   4908    1471.7250    2682.2670      18.0367       0.0174       1.3788       0.0409       1.4716       0.0515       0.4892       0.0386  
   4909    2848.1530    2472.8610      18.1005       0.0129       1.2068       0.0331       1.2853       0.0494       0.5469       0.0350  
   4910    1032.7810    3911.4440      18.1347       0.0154       1.3349       0.0536       1.7119       0.0433       0.8651       0.1229  
   4911     268.4580    1981.7940      18.1423       0.0171       1.1372       0.0529       1.4113       0.0500       0.3776       0.0492  
   4912    2479.3380    2275.2960      18.0724       0.0282       1.2958       0.0691          nan          nan       0.5900       0.0868  
   4913    1473.6690     493.2000      18.4631       0.0228       2.2279       0.0621       2.5255       0.0410          nan          nan  
   4914    3397.7750    1108.2180          nan          nan          nan          nan          nan          nan       0.8720       0.0504  
   4915    2384.0430    2323.7420      17.9390       0.0203       1.7509       0.0465       1.6660       0.0438       1.1187       0.0673  
   4916    1216.5420    3345.1130      18.2755       0.0112       2.1059       0.0415       2.3716       0.0259          nan          nan  
   4917    1038.8350    3437.3210      17.9756       0.0130       1.5972       0.0749          nan          nan       1.1108       0.0911  
   4918    3147.6050    2755.9430      18.0774       0.0121       1.2812       0.0317       1.2286       0.0509       0.4451       0.0347  
   4919    3063.1000    2871.6870      18.0297       0.0113       1.9437       0.0331       2.0602       0.0288       1.0227       0.0607  
   4920    1579.8740    3754.8730          nan       0.0115          nan          nan          nan          nan          nan          nan  
   4921     437.8840    3882.8650      18.1795       0.0197       1.0335       0.0575       1.3456       0.0552       0.4158       0.0491  
   4922    2049.1450    1097.5420      18.0195       0.0215       1.9461       0.0490       1.8829       0.0421          nan          nan  
   4923    2241.7810     874.9820      17.8831       0.0238       1.5325       0.0593       1.2529       0.0664       0.6458       0.0486  
   4924     393.2530     840.4890      18.2358       0.0206       1.0140       0.0504          nan          nan       0.4099       0.0426  
   4925    1233.1860    2654.8570      18.0129       0.0150       1.4471       0.0387          nan          nan       0.5342       0.0573  
   4926    3530.9910    2431.7680      18.0281       0.0089       1.4020       0.0294       1.3240       0.0479       0.7897       0.0450  
   4927    3893.5340    3964.3590          nan       0.0104          nan          nan       1.4626       0.0391          nan          nan  
   4928    2319.5890    1755.0220      18.0726       0.0159       1.3361       0.0367       1.4527       0.0443       0.4187       0.0337  
   4929    2553.2750    2380.2900      18.1496       0.0196       1.2056       0.0422          nan          nan       0.4951       0.0558  
   4930    2775.0670    2491.1280      18.0925       0.0206       1.2946       0.0428       1.3735       0.0985       0.4304       0.0397  
   4931    1305.6760    3423.8130      18.0708       0.0103       1.4642       0.0375       1.7173       0.0335       0.6155       0.0497  
   4932    2923.2260    2018.7550      18.0203       0.0206       1.4996       0.0571       1.5823       0.0459       0.5264       0.0483  
   4933    1927.5000    3905.6120      18.0062       0.0131       1.3422       0.0503          nan          nan       1.0462       0.0613  
   4934    1783.8160     741.3500      18.0364       0.0244       1.5423       0.0617       1.6066       0.0491       0.6331       0.0581  
   4935    3276.2180    4110.1270          nan       0.0233          nan          nan          nan          nan          nan          nan  
   4936      17.7870    1820.0210      18.1165       0.0175       1.1934       0.0558          nan          nan          nan          nan  
   4937    2393.1970    3748.1270      18.1245       0.0113       1.1348       0.0371       1.1755       0.0515       0.3854       0.0405  
   4938    3113.9660    1999.0960      18.0301       0.0123       1.4008       0.0378       1.2547       0.0437       0.4373       0.0430  
   4939    2139.6570     102.7690      18.0124       0.0195       1.6582       0.0561       1.7614       0.0459       1.1138       0.0662  
   4940    2039.9580    2086.6230      18.0807       0.0170       1.2910       0.0438       1.4860       0.0468       0.5577       0.0420  
   4941    1470.6900     500.9440      18.0558       0.0204       1.3629       0.0577       1.5454       0.0484       0.5841       0.0505  
   4942     668.4970    1611.3220      18.0750       0.0172       1.3593       0.0511       1.5697       0.0445       0.5753       0.0511  
   4943     229.7180    1859.5270      18.0686       0.0162       1.2922       0.0517       1.4068       0.0504       0.5088       0.0506  
   4944     751.7110    1608.9360      18.0862       0.0199       1.2544       0.0520       1.4077       0.0489       0.5244       0.0451  
   4945    1400.9260    3857.4160      18.0581       0.0136       1.3288       0.0472       1.4320       0.0413       0.7799       0.0587  
   4946     927.7140    1413.6020      18.0764       0.0199       1.3825       0.0573       1.7290       0.0616       0.4441       0.0530  
   4947     975.6310    2650.9930      18.2461       0.0162       2.1413       0.0439       2.3914       0.0324       1.0237       0.0934  
   4948    2209.7150    2256.4530      18.1466       0.0179       2.1047       0.0449       2.2141       0.0348       1.0531       0.0810  
   4949    2042.5060      80.1150      18.0162       0.0171       1.3995       0.0531       1.5193       0.0530       0.7506       0.0543  
   4950    3028.5780    2443.0100      18.0242       0.0082       1.5594       0.0254       1.6498       0.0320       0.5930       0.0455  
   4951     912.9840    3454.6850      18.0685       0.0124       1.4532       0.0512       1.7110       0.0371       0.6165       0.0524  
   4952      72.8040    1954.8960      18.1938       0.0165       1.0579       0.0521       1.2862       0.0622       0.2630       0.0482  
   4953    2770.6900    1916.0440      18.0163       0.0170       1.4715       0.0455       1.4788       0.0426       0.4363       0.0391  
   4954    1886.0220    3511.6490      18.0414       0.0091       1.7009       0.0321       1.7470       0.0286       1.0257       0.0686  
   4955     149.0020    2003.2920          nan       0.0169          nan          nan       1.9198       0.0383          nan          nan  
   4956    2674.5490    3238.0170      18.3496       0.0130       2.0754       0.0492       2.3509       0.0280       1.0159       0.1254  
   4957    3549.3830     369.4880          nan       0.0131          nan          nan       1.4617       0.0404          nan          nan  
   4958    2455.0710    3448.8820      18.0958       0.0104       1.2605       0.0332       1.3600       0.0437       0.4079       0.0391  
   4959    2543.1930    1598.6600      18.0407       0.0168       1.3788       0.0449       1.3060       0.0850       0.3776       0.0381  
   4960    3098.0670    4071.9990          nan       0.0121          nan          nan          nan          nan          nan          nan  
   4961    3134.5100    2447.6860      18.0120       0.0103       1.5630       0.0285       1.6345       0.0328       0.6840       0.0418  
   4962     952.5770    1132.1520      18.0625       0.0220       1.3093       0.0573       1.4185       0.0597       0.5195       0.0498  
   4963    3893.2530    1838.0120          nan       0.0144          nan          nan       1.4050       0.0427          nan          nan  
   4964    2853.8830     454.2800          nan       0.0178          nan          nan       1.3384       0.0506          nan          nan  
   4965    3044.4640    2469.7840      18.0024       0.0121       1.9473       0.0353       2.0971       0.0349       0.9150       0.0781  
   4966    2406.7480    3312.9770      18.0810       0.0090       1.3019       0.0296       1.3789       0.0392       0.4784       0.0379  
   4967    4079.7470    3334.2760          nan       0.0117          nan          nan          nan          nan          nan          nan  
   4968    2957.4570    2906.4080      18.0819       0.0110       1.2885       0.0295       1.3501       0.0470       0.5558       0.0346  
   4969    2507.4140    1706.1630      18.0993       0.0163       1.2385       0.0422       1.1737       0.0529       0.4079       0.0376  
   4970    3478.9670    2749.1050      18.0422       0.0104       1.5886       0.0300       1.7794       0.0293       0.7662       0.0406  
   4971    4048.7130    2315.1950          nan       0.0098          nan          nan       1.4383       0.0377          nan          nan  
   4972    1901.4100    1440.5520      18.0124       0.0176       1.4264       0.0384       1.3978       0.0466       0.6047       0.0380  
   4973     287.1250     807.6220          nan       0.0221          nan          nan       1.3123       0.0579          nan          nan  
   4974    3693.1550     862.2260          nan       0.0122          nan          nan       1.5832       0.0384          nan          nan  
   4975    3012.5950    3026.6290      18.0897       0.0097       1.2775       0.0301       1.3555       0.0389       0.5342       0.0395  
   4976    2421.0070    3135.9470      18.1677       0.0093       2.0888       0.0318       2.2627       0.0231       1.2332       0.1177  
   4977    3696.5700     397.5830          nan       0.0144          nan          nan       1.5355       0.0396          nan          nan  
   4978    3011.8200    1992.4670      18.0673       0.0123       1.3690       0.0384       1.2403       0.0458       0.3110       0.1883  
   4979    2622.5830    3054.8000      18.0515       0.0132       1.4252       0.0354       1.6066       0.0412       0.5440       0.0381  
   4980    2829.3100     544.9750      18.0207       0.0213       1.5374       0.0576       1.6201       0.0492       0.9699       0.0637  
   4981    1175.0460    1573.0940      18.0672       0.0185       1.3995       0.0475       1.5742       0.0468       0.5048       0.0435  
   4982    3875.8090    2993.1370      18.0892       0.0106       1.2702       0.0314       1.3681       0.0439       0.6351       0.0401  
   4983    1082.7840    4066.6480      17.9201       0.0177       1.9083       0.0669          nan          nan       1.3174       0.1198  
   4984    1641.3830    2767.2970      18.0657       0.0141       1.4069       0.0379       1.5355       0.0401       0.4608       0.0380  
   4985    3271.4590    1297.4120          nan          nan          nan          nan          nan          nan       0.4882       0.0415  
   4986    1377.9490    2174.3840      18.1051       0.0152       1.2714       0.0373       1.4122       0.0423       0.5225       0.0370  
   4987    3533.7740    2471.4500      18.0482       0.0093       1.8351       0.0292       1.9801       0.0275       1.0100       0.0743  
   4988    2480.0130    2944.4160      17.9957       0.0108       1.6826       0.0305       1.6876       0.0325       1.1148       0.0542  
   4989     689.0040    3310.0950      18.0959       0.0130       1.2592       0.0465       1.4869       0.0392       0.5802       0.0467  
   4990    1985.4830    3381.8860      18.1062       0.0088       1.2117       0.0314       1.2079       0.0460       0.4637       0.0382  
   4991    3373.8170    1626.2070          nan       0.0140          nan          nan       1.6048       0.0617          nan          nan  
   4992    2179.9080    3576.6340      18.0599       0.0138       1.5203       0.0399       1.7164       0.0371       0.6791       0.0458  
   4993    2845.4740    1071.6760      17.9939       0.0223       1.4191       0.0521       1.3249       0.0547       0.6145       0.0443  
   4994    2595.4070    2538.7810      18.2571       0.0176       2.2413       0.0448       2.2960       0.0327          nan          nan  
   4995    1788.2930     436.9960      18.0547       0.0211       1.4935       0.0650       1.6093       0.0506       0.5959       0.0610  
   4996      29.9200    2713.9690          nan       0.0199          nan          nan       1.4077       0.0495          nan          nan  
   4997    3724.2370    2189.8280      18.0889       0.0129       1.3178       0.0354          nan          nan       0.4716       0.0424  
   4998    1364.0130    1689.1520      18.0287       0.0177       1.5228       0.0390       1.6210       0.0415       0.5058       0.0389  
   4999    2153.3440     651.1670      18.1286       0.0243       1.6545       0.0784       1.9207       0.0502       0.9826       0.0758  
   5000    3753.5390    3813.3620      18.1025       0.0118       1.3080       0.0368       1.5859       0.0378       0.6370       0.0424  
   5001    1798.0130    2799.4340      18.0151       0.0166       1.4166       0.0377       1.4509       0.0721       0.8171       0.0431  
   5002    2937.3420    3370.3250      18.1106       0.0115       1.2788       0.0337       1.4563       0.0387       0.5234       0.0402  
   5003    1566.7790    3855.8840      18.0708       0.0133       1.3044       0.0428       1.4977       0.0649       0.8211       0.0536  
   5004     249.4460    1697.5040      18.0848       0.0177       1.6082       0.0571       1.8046       0.0431       0.7114       0.0607  
   5005    2540.5210      81.5020          nan          nan          nan          nan          nan          nan          nan          nan  
   5006    2139.7260    3078.0760      18.0935       0.0080       1.2946       0.0246       1.2367       0.0431       0.5832       0.0373  
   5007     887.9110    4036.8430      18.2020       0.0194       0.8810       0.0622       1.0747       0.1081       0.6869       0.0647  
   5008    2398.2430    1181.9060      18.6567       0.0221       1.9876       0.0544       2.8684       0.0389       0.6497       0.1490  
   5009    3588.2560    3108.1130      18.0727       0.0102       1.3642       0.0296       1.4248       0.0377       0.7888       0.0446  
   5010    1699.5980    4000.8370      18.0453       0.0121       1.3983       0.0438          nan          nan       1.0325       0.0662  
   5011    2043.2390    2978.5770      17.9873       0.0106       1.6301       0.0292       1.5940       0.0397       1.2459       0.0579  
   5012    2156.4290     261.6110      18.1008       0.0215       1.1885       0.0661       1.3285       0.0549       0.5460       0.0558  
   5013    1626.7730    3036.9800      18.0857       0.0126       1.3922       0.0362       1.4869       0.0404       0.3874       0.0392  
   5014    2803.0760    2327.7350      18.0628       0.0167       1.4349       0.0436          nan          nan          nan          nan  
   5015    3643.3370    1481.8950          nan       0.0134          nan          nan       1.5544       0.0399          nan          nan  
   5016    1759.4270    1586.0420      18.1272       0.0145       1.2690       0.0337       1.3348       0.0460       0.4481       0.0365  
   5017    1029.3050    3804.5360      18.1688       0.0152       1.5801       0.0559       1.9144       0.0386       0.8876       0.0797  
   5018    2388.5560    3812.4960      18.0954       0.0111       1.7302       0.0359       1.8739       0.0300       0.8798       0.0669  
   5019     830.6850     830.3120      18.2524       0.0194       1.8314       0.0578       2.0584       0.0401       0.9376       0.1404  
   5020    2005.8510    3038.0300      18.1228       0.0101       1.2605       0.0264          nan          nan       0.5391       0.0347  
   5021    1228.6820     771.5190      18.1587       0.0216       1.0884       0.0570       1.1602       0.0649       0.5166       0.0481  
   5022     374.3140    1851.0640      18.1515       0.0175       1.0762       0.0536       1.0954       0.0644       0.4990       0.0473  
   5023    2975.8940    3476.3620      18.0426       0.0114       1.5398       0.0338       1.6705       0.0366       0.7956       0.0458  
   5024    2034.6930    1923.6170      18.1181       0.0126       1.2714       0.0290       1.2943       0.0799       0.5959       0.0337  
   5025    3052.9630    3659.2270      18.0927       0.0118       1.3495       0.0372       1.5103       0.0370       0.6497       0.0455  
   5026    3351.2990     484.3410          nan       0.0137          nan          nan       1.5454       0.0446          nan          nan  
   5027    2420.3130    2001.3140      18.0960       0.0171       1.3166       0.0381       1.2853       0.0495       0.4608       0.0370  
   5028    2686.1780    2816.9300      18.0513       0.0111       1.3983       0.0288       1.3573       0.0404       0.8064       0.0401  
   5029     819.3360    3839.8850      18.1555       0.0183       1.1787       0.0553          nan          nan          nan          nan  
   5030     516.7210    4012.2610      18.2157       0.0187       1.0299       0.0547       1.4005       0.0492       0.4216       0.0518  
   5031    1128.7980    2615.2360      18.0451       0.0158       1.3873       0.0409       1.4086       0.0517       0.6781       0.0432  
   5032    1014.9560     129.0100      18.1237       0.0202       1.2043       0.0525       1.4221       0.0507       0.5744       0.0436  
   5033    2221.0880     696.9830      18.0384       0.0230       1.4557       0.0610       1.4518       0.0517       0.5714       0.0544  
   5034      91.8860    1505.6510      18.2664       0.0187       0.9762       0.0527          nan          nan       0.3883       0.0452  
   5035     920.5040     566.2160      18.1600       0.0171       1.1421       0.0512       1.3087       0.0507       0.4207       0.0458  
   5036    1581.1970    1643.5350      18.1341       0.0163       1.2849       0.0342       1.2835       0.0545       0.3923       0.0320  
