#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
66         3683.87 3788.90 12.291  0.027   0.506   0.044   -0.069  0.034   0.415   0.027  
67         102.196 3161.72 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
68         2040.92 3501.68 11.951  0.021   0.600   0.042   -0.197  0.041   0.510   0.020  
69         93.920  4030.23 12.458  0.038   0.995   0.051   -0.584  0.042   0.280   0.040  
70         1473.74 2277.20 12.129  0.011   0.509   0.024   -0.005  0.024   0.364   0.011  
71         1131.05 663.797 12.406  0.017   0.929   0.052   0.655   0.053   0.790   0.020  
72         1333.65 2595.14 12.378  0.018   0.526   0.032   0.208   0.026   0.417   0.018  
73         1202.71 2808.60 12.580  0.017   0.657   0.032   0.224   0.027   0.614   0.017  
74         3101.39 1113.63 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
75         2851.27 274.212 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
76         4083.81 33.665  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
77         3763.89 3160.69 12.210  0.025   1.737   0.039   1.238   0.030   1.723   0.025  
78         3158.10 1129.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
79         2467.76 2462.98 12.347  0.020   0.731   0.032   0.260   0.027   0.613   0.019  
80         3838.76 387.394 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
81         2401.45 650.279 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
82         1000.33 1448.68 12.284  0.026   0.726   0.052   0.369   0.047   0.627   0.026  
83         47.224  4099.53 13.316  0.038   0.692   0.083   0.100   0.078   INDEF   INDEF  
84         988.730 3530.49 12.619  0.017   0.757   0.050   0.491   0.050   0.624   0.018  
85         3085.00 1187.93 12.710  0.016   0.678   0.032   0.174   0.029   0.638   0.017  
86         2196.61 1170.88 12.756  0.027   1.678   0.039   1.110   0.029   1.580   0.027  
87         1084.06 2483.18 12.721  0.022   0.702   0.037   0.179   0.029   0.564   0.021  
88         1050.47 526.270 12.669  0.016   0.533   0.052   0.124   0.055   0.508   0.019  
89         1490.13 1647.89 12.503  0.020   0.784   0.032   0.426   0.026   0.627   0.019  
90         3177.44 2790.11 12.615  0.014   0.704   0.027   0.269   0.026   0.618   0.016  
91         3432.74 3797.58 13.083  0.034   0.761   0.051   0.166   0.037   1.002   0.033  
92         1508.47 2933.76 12.652  0.011   0.540   0.020   0.106   0.018   0.398   0.012  
93         2914.98 3361.48 12.670  0.020   1.708   0.035   1.198   0.031   1.665   0.020  
