
# Sun 12:05:37 24-Dec-2017
# List of observations files:
#		daom.obs
# Config:	bh73.cfg
# Parameters:	bh73.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)


55         1537.96 45.963  12.592  0.038   0.702   0.056   0.351   0.038   0.741   0.039  
56         3597.82 2248.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
57         2322.75 3070.50 12.051  0.013   0.621   0.028   0.035   0.028   0.499   0.014  
58         3269.05 1998.29 11.917  0.014   0.430   0.033   -0.186  0.031   0.314   0.014  
59         975.421 2365.89 12.003  0.022   2.039   0.040   1.355   0.033   2.082   0.022  
60         1845.32 354.278 12.336  0.030   0.714   0.063   0.217   0.057   0.575   0.031  
61         2901.15 3652.81 11.875  0.027   0.660   0.049   0.068   0.043   0.503   0.027  
62         2418.27 1271.60 12.396  0.026   0.559   0.045   -0.074  0.037   0.500   0.027  
63         3401.74 3158.12 12.375  0.021   0.754   0.032   0.181   0.025   0.562   0.021  
64         986.738 3820.95 12.480  0.025   1.461   0.058   1.087   0.059   1.430   0.027  
65         2857.79 3912.00 12.170  0.039   3.844   0.317   -1.752  0.316   1.274   0.038  
66         3683.87 3788.90 12.296  0.027   0.505   0.044   -0.078  0.034   0.433   0.027  
67         102.196 3161.72 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
68         2040.92 3501.68 11.955  0.021   0.600   0.042   -0.204  0.040   0.526   0.020  
69         93.920  4030.23 12.459  0.038   1.000   0.051   -0.584  0.041   0.294   0.040  
70         1473.74 2277.20 12.134  0.011   0.508   0.024   -0.016  0.023   0.381   0.011  
71         1131.05 663.797 12.408  0.017   0.932   0.052   0.629   0.052   0.804   0.020  
72         1333.65 2595.14 12.382  0.019   0.525   0.032   0.193   0.025   0.434   0.018  
73         1202.71 2808.60 12.584  0.018   0.658   0.032   0.208   0.027   0.630   0.017  
74         3101.39 1113.63 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
75         2851.27 274.212 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
76         4083.81 33.665  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
77         3763.89 3160.69 12.206  0.025   1.750   0.040   1.194   0.029   1.732   0.025  
78         3158.10 1129.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
79         2467.76 2462.98 12.350  0.020   0.732   0.032   0.242   0.027   0.629   0.020  
80         3838.76 387.394 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
81         2401.45 650.279 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
82         1000.33 1448.68 12.287  0.026   0.727   0.053   0.349   0.046   0.643   0.026  
83         47.224  4099.53 13.319  0.038   0.693   0.084   0.086   0.077   INDEF   INDEF  
84         988.730 3530.49 12.621  0.017   0.759   0.051   0.468   0.049   0.640   0.018  
85         3085.00 1187.93 12.713  0.016   0.679   0.032   0.159   0.028   0.654   0.017  
86         2196.61 1170.88 12.753  0.027   1.690   0.039   1.069   0.028   1.589   0.027  
87         1084.06 2483.18 12.725  0.022   0.703   0.037   0.164   0.029   0.580   0.021  
88         1050.47 526.270 12.674  0.016   0.532   0.053   0.110   0.054   0.525   0.019  
89         1490.13 1647.89 12.506  0.020   0.786   0.033   0.405   0.026   0.642   0.019  
90         3177.44 2790.11 12.618  0.014   0.705   0.027   0.252   0.026   0.634   0.016  
91         3432.74 3797.58 13.086  0.034   0.763   0.051   0.150   0.036   1.017   0.034  
92         1508.47 2933.76 12.656  0.011   0.539   0.020   0.093   0.017   0.415   0.012  
93         2914.98 3361.48 12.667  0.020   1.721   0.036   1.156   0.031   1.674   0.020  
94         3470.69 2463.87 12.559  0.015   0.679   0.027   0.166   0.023   0.629   0.015  
95         554.695 129.228 13.467  0.040   0.542   0.065   0.436   0.048   INDEF   INDEF  
96         3934.78 1574.77 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
97         2825.51 1460.47 13.113  0.017   0.586   0.045   -0.167  0.043   0.502   0.019  
98         2689.88 731.022 12.508  0.025   1.587   0.058   0.770   0.053   1.569   0.028  
99         518.606 2568.77 13.935  0.161   -0.065  0.188   1.262   0.058   2.605   0.154  
100        793.858 258.717 13.502  0.030   0.629   0.052   0.277   0.042   INDEF   INDEF  
101        2945.12 2017.58 12.898  0.012   1.676   0.033   0.951   0.033   1.539   0.013  
102        1224.12 1742.08 12.719  0.017   0.670   0.037   -0.084  0.034   0.674   0.017  
103        3524.30 3608.12 12.609  0.025   1.558   0.040   1.119   0.030   1.445   0.025  
104        1477.33 2983.80 12.813  0.012   0.579   0.028   0.039   0.025   0.453   0.013  
105        811.493 1643.39 13.269  0.025   1.945   0.044   1.317   0.038   2.001   0.025  
106        452.706 2639.96 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
107        2949.27 3823.17 12.786  0.032   0.558   0.054   -0.233  0.042   0.561   0.031  
108        3306.02 1650.67 12.907  0.012   1.191   0.024   0.474   0.022   1.155   0.013  
109        2084.42 3246.04 13.248  0.014   2.226   0.025   1.274   0.023   2.291   0.015  
110        672.304 3147.92 13.166  0.017   0.599   0.050   0.185   0.047   0.647   0.018  
111        3236.90 1609.33 13.106  0.011   0.729   0.024   -0.058  0.024   0.775   0.013  
112        1664.41 2616.23 12.894  0.018   1.383   0.033   0.848   0.028   1.293   0.017  
113        3918.97 3335.23 13.345  0.028   0.631   0.042   0.117   0.028   0.680   0.028  
114        1722.56 1782.21 13.101  0.010   0.643   0.022   -0.160  0.020   0.584   0.011  
115        3630.83 3952.55 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
116        3899.20 3143.91 13.239  0.023   0.699   0.039   0.178   0.030   0.642   0.023  
117        2695.55 2194.02 13.195  0.014   1.903   0.027   1.060   0.025   1.853   0.015  
